ASSESSMENT_UNIT_ID,ACTION_PARAM_NAME,ACTION_ID,ACTION_TYPE
UT-L-16030007-028_00,PH,964,TMDL
UT-L-16030007-028_00,DISSOLVED OXYGEN,964,TMDL
UT16020101-011_00,"PHOSPHORUS, TOTAL",239,TMDL
UT16020101-011_00,SEDIMENT,239,TMDL
UT14070002-007_00,TOTAL DISSOLVED SOLIDS (TDS),11144,TMDL
UT-L-14060010-006_00,DISSOLVED OXYGEN,35078,TMDL
UT-L-16030002-004_00,"PHOSPHORUS, TOTAL",30890,TMDL
UT-L-14070003-015_00,"PHOSPHORUS, TOTAL",4061,TMDL
UT-L-16030001-006_00,"PHOSPHORUS, TOTAL",11149,TMDL
UT-L-16030001-006_00,DISSOLVED OXYGEN,11149,TMDL
UT14080201-006_00,ALPHA PARTICLES,4013,TMDL
UT14060007-007_00,TOTAL DISSOLVED SOLIDS (TDS),11135,TMDL
UT16010202-004_00,"PHOSPHORUS, TOTAL",38238,TMDL
UT14060007-017_00,TOTAL DISSOLVED SOLIDS (TDS),11132,TMDL
UT16020102-026_03,"PHOSPHORUS, TOTAL",399,TMDL
UT14010005-001_00,SELENIUM,60100,TMDL
UT16020202-012_00,"PHOSPHORUS, TOTAL",31023,TMDL
UT16020202-012_00,SEDIMENT,31023,TMDL
UT-L-16010203-005_00,"PHOSPHORUS, TOTAL",4011,TMDL
UT-L-16010203-005_00,DISSOLVED OXYGEN,4011,TMDL
UT16020101-020_00,CADMIUM,11152,TMDL
UT16020101-020_00,ZINC,11152,TMDL
UT-L-16030006-008_00,DISSOLVED OXYGEN,35080,TMDL
UT-L-16030006-008_00,"PHOSPHORUS, TOTAL",35080,TMDL
UT14030001-005_00,SELENIUM,60103,TMDL
UT-L-16030007-020_00,DISSOLVED OXYGEN,601,TMDL
UT-L-16030007-020_00,"PHOSPHORUS, TOTAL",601,TMDL
UT16020204-001_01,DISSOLVED OXYGEN,54300,TMDL
UT-L-16030002-005_00,"PHOSPHORUS, TOTAL",31020,TMDL
UT-L-16030002-005_00,DISSOLVED OXYGEN,31020,TMDL
UT14080201-007_00,ALPHA PARTICLES,4013,TMDL
UT16020202-022_00,SEDIMENT,33611,TMDL
UT16020102-026_01,"PHOSPHORUS, TOTAL",399,TMDL
UT16030007-002_00,TEMPERATURE,96,TMDL
UT16030007-002_00,DISSOLVED OXYGEN,96,TMDL
UT14060009-011_00,TOTAL DISSOLVED SOLIDS (TDS),11139,TMDL
UT-L-16030007-027_00,DISSOLVED OXYGEN,610,TMDL
UT-L-16030007-027_00,"PHOSPHORUS, TOTAL",610,TMDL
UT14060003-003_00,TOTAL DISSOLVED SOLIDS (TDS),4056,TMDL
UT14070003-005_00,"PHOSPHORUS, TOTAL",4062,TMDL
UT14060009-003_02,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT14030005-005_00,TEMPERATURE,4047,TMDL
UT16030004-001_00,TOTAL DISSOLVED SOLIDS (TDS),11150,TMDL
UT14060007-006_00,TOTAL DISSOLVED SOLIDS (TDS),11130,TMDL
UT15010008-001_00,TOTAL DISSOLVED SOLIDS (TDS),12104,TMDL
UT16030005-026_00,"PHOSPHORUS, TOTAL",11124,TMDL
UT16030005-026_00,SEDIMENT,11124,TMDL
UT14060009-003_04,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT-L-14070003-010_00,"PHOSPHORUS, TOTAL",4059,TMDL
UT16030002-003_00,"PHOSPHORUS, TOTAL",900,TMDL
UT16030002-003_00,SEDIMENT,900,TMDL
UT16010101-016_00,DISSOLVED OXYGEN,30885,TMDL
UT16020204-012_00,ESCHERICHIA COLI (E. COLI),42669,TMDL
UT14060003-002_00,TOTAL DISSOLVED SOLIDS (TDS),33616,TMDL
UT16030001-005_00,SEDIMENT,11126,TMDL
UT16030001-005_00,"PHOSPHORUS, TOTAL",11126,TMDL
UT16030001-005_00,"PHOSPHORUS, TOTAL",30892,TMDL
UT-L-16020203-001_00,DISSOLVED OXYGEN,4046,TMDL
UT-L-16010204-033_00,"PHOSPHORUS, TOTAL",762,TMDL
UT-L-16010204-033_00,DISSOLVED OXYGEN,762,TMDL
UT-L-16010204-033_00,PH,762,TMDL
UT14060009-004_01,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT16020204-022_00,ZINC,4014,TMDL
UT15010008-015_00,ESCHERICHIA COLI (E. COLI),R8-UT-2018-01,TMDL
UT16010202-008_00,"PHOSPHORUS, TOTAL",38238,TMDL
UT16020101-014_00,"PHOSPHORUS, TOTAL",239,TMDL
UT16020101-014_00,SEDIMENT,239,TMDL
UT16020204-002_00,DISSOLVED OXYGEN,54321,TMDL
UT-L-16030007-011_00,PH,808,TMDL
UT-L-16030007-011_00,DISSOLVED OXYGEN,808,TMDL
UT-L-16030007-011_00,"PHOSPHORUS, TOTAL",808,TMDL
UT14070003-014_00,TOTAL DISSOLVED SOLIDS (TDS),4063,TMDL
UT16030004-005_02,TOTAL DISSOLVED SOLIDS (TDS),11151,TMDL
UT14060003-009_00,TOTAL DISSOLVED SOLIDS (TDS),4058,TMDL
UT14060009-014_00,TOTAL DISSOLVED SOLIDS (TDS),11141,TMDL
UT-L-16020101-001_00,DISSOLVED OXYGEN,59860,TMDL
UT-L-16020101-001_00,"PHOSPHORUS, TOTAL",59860,TMDL
UT14060003-001_00,TOTAL DISSOLVED SOLIDS (TDS),33615,TMDL
UT16030002-005_00,"PHOSPHORUS, TOTAL",30892,TMDL
UT-L-14070003-019_00,"PHOSPHORUS, TOTAL",4060,TMDL
UT-L-14070003-019_00,DISSOLVED OXYGEN,4060,TMDL
UT-L-16020102-014_00,DISSOLVED OXYGEN,4055,TMDL
UT-L-16020102-014_00,"PHOSPHORUS, TOTAL",4055,TMDL
UT14060003-008_00,TOTAL DISSOLVED SOLIDS (TDS),33617,TMDL
UT16010202-010_00,"PHOSPHORUS, TOTAL",38238,TMDL
UT14030005-003_00,SELENIUM,60105,TMDL
UT-L-15010008-001_00,"PHOSPHORUS, TOTAL",12106,TMDL
UT-L-15010008-001_00,DISSOLVED OXYGEN,12106,TMDL
UT16020204-003_00,DISSOLVED OXYGEN,54322,TMDL
UT-L-15010008-008_00,"PHOSPHORUS, TOTAL",12105,TMDL
UT-L-15010008-008_00,DISSOLVED OXYGEN,12105,TMDL
UT14060005-002_00,SELENIUM,39159,TMDL
UT14060005-002_00,TOTAL DISSOLVED SOLIDS (TDS),39159,TMDL
UT14060005-002_00,BORON,39159,TMDL
UT14060005-003_00,TEMPERATURE,68462,TMDL
UT16010101-006_00,DISSOLVED OXYGEN,30887,TMDL
UT16010101-006_00,"PHOSPHORUS, TOTAL",30887,TMDL
UT-L-14060010-002_00,DISSOLVED OXYGEN,35100,TMDL
UT-L-14060004-001_00,DISSOLVED OXYGEN,33705,TMDL
UT-L-14060004-001_00,"PHOSPHORUS, TOTAL",33705,TMDL
UT-L-14040106-033_00,DISSOLVED OXYGEN,33618,TMDL
UT-L-14040106-033_00,"PHOSPHORUS, TOTAL",33618,TMDL
UT16020101-007_00,SEDIMENT,30893,TMDL
UT16030005-027_00,"PHOSPHORUS, TOTAL",11124,TMDL
UT16030005-027_00,SEDIMENT,11124,TMDL
UT16010203-005_00,"PHOSPHORUS, TOTAL",38238,TMDL
UT16020204-001_02,DISSOLVED OXYGEN,54300,TMDL
UT16030001-009_00,"PHOSPHORUS, TOTAL",11129,TMDL
UT16020102-026_02,"PHOSPHORUS, TOTAL",399,TMDL
UT16030003-003_00,TOTAL DISSOLVED SOLIDS (TDS),11125,TMDL
UT16010202-009_00,"PHOSPHORUS, TOTAL",4012,TMDL
UT16010202-009_00,"PHOSPHORUS, TOTAL",38238,TMDL
UT16010202-009_00,DISSOLVED OXYGEN,38238,TMDL
UT14060009-003_01,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT16010202-002_00,"PHOSPHORUS, TOTAL",11147,TMDL
UT14030005-011_00,TEMPERATURE,4047,TMDL
UT-L-16010202-002_00,DISSOLVED OXYGEN,38237,TMDL
UT-L-16010202-002_00,EUTROPHICATION,38237,TMDL
UT-L-16010202-002_00,"PHOSPHORUS, TOTAL",38237,TMDL
UT15010008-013_00,ESCHERICHIA COLI (E. COLI),R8-UT-2018-01,TMDL
UT-L-14060010-008_00,DISSOLVED OXYGEN,35079,TMDL
UT14060009-003_03,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT14030005-010_00,TEMPERATURE,4008,TMDL
UT16020101-013_00,SEDIMENT,239,TMDL
UT16020101-013_00,"PHOSPHORUS, TOTAL",239,TMDL
UT16010203-008_00,ESCHERICHIA COLI (E. COLI),4012,TMDL
UT16010203-008_00,"AMMONIA, TOTAL",4012,TMDL
UT-L-16020101-002_00,DISSOLVED OXYGEN,59861,TMDL
UT16030001-007_00,"PHOSPHORUS, TOTAL",11127,TMDL
UT16030001-007_00,SEDIMENT,11127,TMDL
UT-L-14040106-034_00,DISSOLVED OXYGEN,33613,TMDL
UT-L-14040106-034_00,"PHOSPHORUS, TOTAL",33613,TMDL
UT14060009-004_02,TOTAL DISSOLVED SOLIDS (TDS),11137,TMDL
UT14030005-004_00,SELENIUM,60104,TMDL
UT14070002-008_00,TOTAL DISSOLVED SOLIDS (TDS),11145,TMDL
UT14060007-015_00,TOTAL DISSOLVED SOLIDS (TDS),11131,TMDL
UT-L-16030002-011_00,"PHOSPHORUS, TOTAL",30891,TMDL
UT-L-16030002-011_00,DISSOLVED OXYGEN,30891,TMDL
UT16030002-004_00,DISSOLVED OXYGEN,900,TMDL
UT16030002-004_00,"PHOSPHORUS, TOTAL",900,TMDL
UT16030002-004_00,SEDIMENT,900,TMDL
UT14060003-004_00,TOTAL DISSOLVED SOLIDS (TDS),4056,TMDL
UT-L-14060007-005_00,"PHOSPHORUS, TOTAL",1060,TMDL
UT-L-14060007-005_00,PH,1060,TMDL
UT-L-14060007-005_00,DISSOLVED OXYGEN,1060,TMDL
UT-L-16010202-013_00,"PHOSPHORUS, TOTAL",11148,TMDL
UT-L-16010202-013_00,DISSOLVED OXYGEN,11148,TMDL
UT16030003-012_00,TOTAL DISSOLVED SOLIDS (TDS),11150,TMDL
UT16030003-012_00,TOTAL DISSOLVED SOLIDS (TDS),11122,TMDL
UT16030003-012_00,"PHOSPHORUS, TOTAL",11122,TMDL
UT16030003-012_00,SEDIMENT,11122,TMDL
UT16030004-005_01,TOTAL DISSOLVED SOLIDS (TDS),11151,TMDL
UT16020101-016_00,DISSOLVED OXYGEN,239,TMDL
UT16020101-016_00,"PHOSPHORUS, TOTAL",239,TMDL
UT16020101-016_00,SEDIMENT,239,TMDL
UT-L-16020102-020_00,DISSOLVED OXYGEN,400,TMDL
UT-L-16020102-020_00,DISSOLVED OXYGEN,39157,TMDL
UT-L-16020102-020_00,"PHOSPHORUS, TOTAL",400,TMDL
UT-L-16020102-020_00,"PHOSPHORUS, TOTAL",39157,TMDL
